timestamp,cpu_percent,mem_usage,mem_percent,net_io,block_io,pids
2026-03-15T22:09:13.6689830+02:00,5.79%,163.4MiB / 3.672GiB,4.35%,134kB / 549kB,13.4MB / 0B,21
2026-03-15T22:09:16.8903067+02:00,0.26%,163.4MiB / 3.672GiB,4.35%,134kB / 549kB,13.4MB / 0B,21
2026-03-15T22:09:19.0436590+02:00,0.39%,163.4MiB / 3.672GiB,4.35%,134kB / 550kB,13.4MB / 0B,21
2026-03-15T22:09:22.1589776+02:00,0.83%,163.4MiB / 3.672GiB,4.35%,135kB / 559kB,13.4MB / 0B,21
2026-03-15T22:09:25.3180763+02:00,0.29%,163.4MiB / 3.672GiB,4.35%,136kB / 560kB,13.4MB / 0B,21
2026-03-15T22:09:27.4435394+02:00,0.26%,163.4MiB / 3.672GiB,4.35%,136kB / 560kB,13.4MB / 0B,21
2026-03-15T22:09:29.5812309+02:00,0.23%,163.4MiB / 3.672GiB,4.35%,136kB / 561kB,13.4MB / 0B,21
2026-03-15T22:09:32.6586167+02:00,1.14%,163.4MiB / 3.672GiB,4.35%,137kB / 562kB,13.4MB / 0B,21
2026-03-15T22:09:35.9076570+02:00,1.22%,163.4MiB / 3.672GiB,4.35%,137kB / 563kB,13.4MB / 0B,21
2026-03-15T22:09:38.0504156+02:00,0.95%,163.4MiB / 3.672GiB,4.35%,138kB / 572kB,13.4MB / 0B,21
2026-03-15T22:09:40.2160463+02:00,1.23%,163.4MiB / 3.672GiB,4.35%,139kB / 572kB,13.4MB / 0B,21
2026-03-15T22:09:43.3492281+02:00,0.45%,163.4MiB / 3.672GiB,4.35%,139kB / 573kB,13.4MB / 0B,21
2026-03-15T22:09:46.5509736+02:00,1.12%,163.4MiB / 3.672GiB,4.35%,139kB / 574kB,13.4MB / 0B,21
2026-03-15T22:09:48.7264278+02:00,1.24%,163.4MiB / 3.672GiB,4.35%,140kB / 575kB,13.4MB / 0B,21
2026-03-15T22:09:51.9327559+02:00,1.37%,163.7MiB / 3.672GiB,4.35%,141kB / 584kB,13.4MB / 0B,21
2026-03-15T22:09:55.1399931+02:00,1.77%,163.5MiB / 3.672GiB,4.35%,141kB / 585kB,13.4MB / 0B,21
2026-03-15T22:09:57.2751839+02:00,0.36%,163.4MiB / 3.672GiB,4.35%,141kB / 585kB,13.4MB / 0B,21
2026-03-15T22:09:59.3748325+02:00,0.42%,163.4MiB / 3.672GiB,4.35%,142kB / 586kB,13.4MB / 0B,21
2026-03-15T22:10:02.4107668+02:00,1.48%,163.4MiB / 3.672GiB,4.35%,143kB / 587kB,13.4MB / 0B,21
2026-03-15T22:10:05.5174179+02:00,0.37%,163.4MiB / 3.672GiB,4.35%,143kB / 588kB,13.4MB / 0B,21
2026-03-15T22:10:07.6528817+02:00,0.38%,163.7MiB / 3.672GiB,4.35%,144kB / 597kB,13.4MB / 0B,21
2026-03-15T22:10:09.8151772+02:00,0.28%,163.5MiB / 3.672GiB,4.35%,144kB / 597kB,13.4MB / 0B,21
2026-03-15T22:10:12.9611347+02:00,1.06%,163.5MiB / 3.672GiB,4.35%,145kB / 598kB,13.4MB / 0B,21
2026-03-15T22:10:16.2266028+02:00,0.30%,163.5MiB / 3.672GiB,4.35%,145kB / 599kB,13.4MB / 0B,21
2026-03-15T22:10:18.3585617+02:00,0.93%,163.5MiB / 3.672GiB,4.35%,145kB / 600kB,13.4MB / 0B,21
2026-03-15T22:10:21.6146402+02:00,0.88%,163.5MiB / 3.672GiB,4.35%,146kB / 609kB,13.4MB / 0B,21
2026-03-15T22:10:24.8903774+02:00,2.17%,163.5MiB / 3.672GiB,4.35%,147kB / 610kB,13.4MB / 0B,21
2026-03-15T22:10:27.0402858+02:00,0.95%,163.5MiB / 3.672GiB,4.35%,147kB / 610kB,13.4MB / 0B,21
2026-03-15T22:10:29.1722871+02:00,0.83%,163.5MiB / 3.672GiB,4.35%,147kB / 611kB,13.4MB / 0B,21
2026-03-15T22:10:32.1910799+02:00,0.27%,163.5MiB / 3.672GiB,4.35%,148kB / 611kB,13.4MB / 0B,21
2026-03-15T22:10:35.3108385+02:00,1.25%,163.5MiB / 3.672GiB,4.35%,148kB / 613kB,13.4MB / 0B,21
2026-03-15T22:10:37.5498369+02:00,0.39%,163.5MiB / 3.672GiB,4.35%,149kB / 621kB,13.4MB / 0B,21
2026-03-15T22:10:39.6889404+02:00,0.38%,163.5MiB / 3.672GiB,4.35%,149kB / 622kB,13.4MB / 0B,21
2026-03-15T22:10:42.9019875+02:00,1.20%,163.5MiB / 3.672GiB,4.35%,150kB / 623kB,13.4MB / 0B,21
2026-03-15T22:10:46.0875266+02:00,0.39%,163.5MiB / 3.672GiB,4.35%,150kB / 624kB,13.4MB / 0B,21
2026-03-15T22:10:48.2342659+02:00,0.51%,163.5MiB / 3.672GiB,4.35%,151kB / 624kB,13.4MB / 0B,21
2026-03-15T22:10:50.5081569+02:00,0.35%,163.5MiB / 3.672GiB,4.35%,151kB / 625kB,13.4MB / 0B,21
2026-03-15T22:10:53.6841372+02:00,1.37%,163.5MiB / 3.672GiB,4.35%,152kB / 634kB,13.4MB / 0B,21
2026-03-15T22:10:56.8483652+02:00,0.75%,163.5MiB / 3.672GiB,4.35%,153kB / 635kB,13.4MB / 0B,21
2026-03-15T22:10:58.9455212+02:00,0.80%,163.5MiB / 3.672GiB,4.35%,153kB / 636kB,13.4MB / 0B,21
2026-03-15T22:11:01.9900128+02:00,0.31%,163.5MiB / 3.672GiB,4.35%,153kB / 636kB,13.4MB / 0B,21
2026-03-15T22:11:05.1556453+02:00,0.77%,163.5MiB / 3.672GiB,4.35%,154kB / 638kB,13.4MB / 0B,21
2026-03-15T22:11:07.3009228+02:00,1.85%,163.5MiB / 3.672GiB,4.35%,155kB / 647kB,13.4MB / 0B,21
2026-03-15T22:11:09.4355948+02:00,0.64%,163.5MiB / 3.672GiB,4.35%,155kB / 647kB,13.4MB / 0B,21
2026-03-15T22:11:12.5667962+02:00,0.60%,163.5MiB / 3.672GiB,4.35%,155kB / 648kB,13.4MB / 0B,21
2026-03-15T22:11:15.7570754+02:00,1.33%,163.5MiB / 3.672GiB,4.35%,156kB / 649kB,13.4MB / 0B,21
2026-03-15T22:11:17.8913783+02:00,0.93%,163.5MiB / 3.672GiB,4.35%,156kB / 649kB,13.4MB / 0B,21
2026-03-15T22:11:20.0934645+02:00,0.38%,163.5MiB / 3.672GiB,4.35%,156kB / 650kB,13.4MB / 0B,21
2026-03-15T22:11:23.2027003+02:00,0.89%,163.5MiB / 3.672GiB,4.35%,158kB / 659kB,13.4MB / 0B,21
2026-03-15T22:11:26.3568359+02:00,0.20%,163.5MiB / 3.672GiB,4.35%,158kB / 660kB,13.4MB / 0B,21
2026-03-15T22:11:28.4866321+02:00,0.28%,163.5MiB / 3.672GiB,4.35%,158kB / 660kB,13.4MB / 0B,21
2026-03-15T22:11:31.5937070+02:00,0.74%,163.5MiB / 3.672GiB,4.35%,159kB / 662kB,13.4MB / 0B,21
2026-03-15T22:11:34.6588866+02:00,0.32%,163.5MiB / 3.672GiB,4.35%,159kB / 662kB,13.4MB / 0B,21
2026-03-15T22:11:37.7091110+02:00,1.64%,163.5MiB / 3.672GiB,4.35%,160kB / 671kB,13.4MB / 0B,21
2026-03-15T22:11:39.8818083+02:00,0.94%,163.5MiB / 3.672GiB,4.35%,160kB / 672kB,13.4MB / 0B,21
2026-03-15T22:11:43.0128092+02:00,0.57%,163.5MiB / 3.672GiB,4.35%,161kB / 673kB,13.4MB / 0B,21
2026-03-15T22:11:46.2593594+02:00,2.51%,163.5MiB / 3.672GiB,4.35%,161kB / 674kB,13.4MB / 0B,21
2026-03-15T22:11:48.4131872+02:00,0.29%,163.5MiB / 3.672GiB,4.35%,162kB / 674kB,13.4MB / 0B,21
2026-03-15T22:11:50.6349427+02:00,0.41%,163.5MiB / 3.672GiB,4.35%,162kB / 675kB,13.4MB / 0B,21
2026-03-15T22:11:53.8360689+02:00,1.17%,163.5MiB / 3.672GiB,4.35%,163kB / 684kB,13.4MB / 0B,21
